# Per-ward service accessibility for chennai. Scores are weighted formulas, NOT machine learning, and a missing input is reported as UNAVAILABLE rather than scored zero.
ward_no,ward_key,ward_name,corporation,zone,area_km2,facilities_total,facility_density_per_km2,counts_healthcare,counts_education,counts_transport,counts_government,counts_daily_life,nearest_m_healthcare,nearest_m_education,nearest_m_transport,nearest_m_government,nearest_m_daily_life,scores_healthcare,scores_education,scores_transport,scores_government,scores_daily_life,infrastructure_score,median_psf,listings,development_pressure
138,Greater Chennai Corporation|138,Ward 138 - Jafferkhanpet,Greater Chennai Corporation,KODAMBAKKAM,1.27,18,14.2,3,4,5,2,4,324,279,366,351,364,95,93,88,96,88,92,,,
128,Greater Chennai Corporation|128,Ward 128 - Virugambakkam,Greater Chennai Corporation,KODAMBAKKAM,1.61,22,13.7,11,3,7,0,1,95,538,136,811,394,98,87,95,90,87,91,,,
137,Greater Chennai Corporation|137,Ward 137 - K.K.Nagar,Greater Chennai Corporation,KODAMBAKKAM,1.63,12,7.4,3,1,7,0,1,37,503,75,998,90,99,87,98,88,97,94,,,
127,Greater Chennai Corporation|127,Ward 127 - Saligramam,Greater Chennai Corporation,KODAMBAKKAM,3.88,50,12.9,9,2,24,6,9,773,872,320,413,550,87,78,89,95,82,86,,,
133,Greater Chennai Corporation|133,Ward 133 - CMWSSB Division 136,Greater Chennai Corporation,KODAMBAKKAM,1.85,44,23.8,8,10,9,2,15,182,347,74,179,127,97,91,98,98,96,96,,,
141,Greater Chennai Corporation|141,Ward 141 - Thiyagaraya Nagar,Greater Chennai Corporation,KODAMBAKKAM,0.78,17,21.7,5,7,2,3,0,135,442,247,223,525,98,89,92,97,82,92,7964,501,2.9
134,Greater Chennai Corporation|134,Ward 134 - West Mambalam,Greater Chennai Corporation,KODAMBAKKAM,0.95,31,32.6,15,5,5,0,6,150,289,286,773,174,98,93,90,90,94,93,,,
41,Greater Chennai Corporation|41,Ward 41 - CMWSSB Division 41,Greater Chennai Corporation,TONDIARPET,0.9,0,0.0,0,0,0,0,0,924,678,559,1143,2385,85,83,81,86,20,71,,,
40,Greater Chennai Corporation|40,Ward 40 - Tondiarpet,Greater Chennai Corporation,TONDIARPET,1.07,2,1.9,1,0,1,0,0,429,809,412,871,3853,93,80,86,89,0,70,,,
38,Greater Chennai Corporation|38,Ward 38 - CMWSSB Division 38,Greater Chennai Corporation,TONDIARPET,1.81,1,0.6,0,0,1,0,0,1219,1772,447,1823,3610,80,56,85,77,0,60,,,
37,Greater Chennai Corporation|37,Ward 37 - CMWSSB Division 37,Greater Chennai Corporation,TONDIARPET,4.13,2,0.5,2,0,0,0,0,1351,1518,1466,1590,2969,77,62,51,80,1,54,,,
44,Greater Chennai Corporation|44,Ward 44 - CMWSSB Division 44,Greater Chennai Corporation,TONDIARPET,0.7,3,4.3,3,0,0,0,0,380,907,961,1216,740,94,77,68,85,75,80,,,
48,Greater Chennai Corporation|48,Ward 48 - Washermanpet,Greater Chennai Corporation,TONDIARPET,0.48,5,10.4,3,1,1,0,0,241,268,282,281,1424,96,93,91,96,53,86,,,
42,Greater Chennai Corporation|42,Ward 42 - Korukkupet,Greater Chennai Corporation,TONDIARPET,1.09,6,5.5,2,1,2,1,0,334,300,394,230,1824,94,92,87,97,39,82,,,
47,Greater Chennai Corporation|47,Ward 47 - CMWSSB Division 47,Greater Chennai Corporation,TONDIARPET,0.63,1,1.6,0,1,0,0,0,657,485,403,1035,1884,89,88,87,87,37,78,,,
45,Greater Chennai Corporation|45,Ward 45 - Vyasarpadi,Greater Chennai Corporation,TONDIARPET,1.15,3,2.6,0,2,1,0,0,710,429,653,1103,1297,88,89,78,86,57,80,,,
46,Greater Chennai Corporation|46,Ward 46 - Basin Bridge,Greater Chennai Corporation,TONDIARPET,1.45,2,1.4,0,1,0,1,0,584,470,1122,127,1927,90,88,63,98,36,75,,,
34,Greater Chennai Corporation|34,Ward 34 - Chinna Kodungaiyur,Greater Chennai Corporation,TONDIARPET,2.46,4,1.6,2,0,2,0,0,498,595,602,3325,906,92,85,80,58,70,77,,,
35,Greater Chennai Corporation|35,Ward 35 - Kodungaiyur,Greater Chennai Corporation,TONDIARPET,1.7,7,4.1,5,1,1,0,0,59,543,796,2712,844,99,86,73,66,72,79,,,
36,Greater Chennai Corporation|36,Ward 36 - CMWSSB Division 36,Greater Chennai Corporation,TONDIARPET,1.38,3,2.2,1,2,0,0,0,687,575,1497,1545,1595,89,86,50,81,47,71,,,
1,Greater Chennai Corporation|1,Ward 1 - Ennore,Greater Chennai Corporation,THIRUVOTTRIYUR,1.75,2,1.1,0,1,1,0,0,3603,281,532,4416,13235,40,93,82,45,0,52,,,
10,Greater Chennai Corporation|10,Ward 10 - CMWSSB Division 10,Greater Chennai Corporation,THIRUVOTTRIYUR,0.53,4,7.6,0,2,2,0,0,502,279,357,2075,6898,92,93,88,74,0,69,,,
11,Greater Chennai Corporation|11,Ward 11 - Tiruvottiyur,Greater Chennai Corporation,THIRUVOTTRIYUR,0.64,7,11.0,4,3,0,0,0,26,141,332,2466,6358,100,96,89,69,0,71,,,
2,Greater Chennai Corporation|2,Ward 2 - Kathivakkam,Greater Chennai Corporation,THIRUVOTTRIYUR,2.94,3,1.0,0,1,2,0,0,2526,745,143,3332,12245,58,81,95,58,0,58,,,
3,Greater Chennai Corporation|3,Ward 3 - Ernavur,Greater Chennai Corporation,THIRUVOTTRIYUR,3.18,6,1.9,1,0,5,0,0,345,1166,413,1228,10461,94,71,86,85,0,67,,,
5,Greater Chennai Corporation|5,Ward 5 - Bharathiyar Nagar,Greater Chennai Corporation,THIRUVOTTRIYUR,2.33,11,4.7,0,1,9,1,0,1213,632,395,496,9298,80,84,87,94,0,69,,,
7,Greater Chennai Corporation|7,Ward 7 - Kargil Nagar,Greater Chennai Corporation,THIRUVOTTRIYUR,7.73,1,0.1,1,0,0,0,0,1596,1557,1037,3038,5845,73,61,65,62,0,52,,,
8,Greater Chennai Corporation|8,Ward 8 - CMWSSB Division 8,Greater Chennai Corporation,THIRUVOTTRIYUR,0.73,5,6.9,4,1,0,0,0,101,354,663,1482,7457,98,91,78,81,0,70,,,
9,Greater Chennai Corporation|9,Ward 9 - CMWSSB Division 9,Greater Chennai Corporation,THIRUVOTTRIYUR,0.69,2,2.9,0,0,2,0,0,320,340,245,1891,7043,95,92,92,76,0,71,,,
12,Greater Chennai Corporation|12,Ward 12 - Kaladipet,Greater Chennai Corporation,THIRUVOTTRIYUR,0.42,4,9.4,3,1,0,0,0,222,228,307,1870,5692,96,94,90,77,0,71,,,
13,Greater Chennai Corporation|13,Ward 13 - CMWSSB Division 13,Greater Chennai Corporation,THIRUVOTTRIYUR,0.47,1,2.1,1,0,0,0,0,356,549,582,1562,5303,94,86,81,80,0,68,,,
14,Greater Chennai Corporation|14,Ward 14 - CMWSSB Division 14,Greater Chennai Corporation,THIRUVOTTRIYUR,0.67,4,5.9,2,0,2,0,0,201,314,237,1597,5492,97,92,92,80,0,72,,,
27,Greater Chennai Corporation|27,Ward 27 - Madhavaram Milk Colony,Greater Chennai Corporation,MADHAVARAM,3.67,1,0.3,1,0,0,0,0,937,1992,1194,5043,2278,84,50,60,37,24,51,,,
22,Greater Chennai Corporation|22,Ward 22 - CMWSSB Division 29,Greater Chennai Corporation,MADHAVARAM,2.17,0,0.0,0,0,0,0,0,717,2713,1391,4720,3371,88,32,54,41,0,43,,,
28,Greater Chennai Corporation|28,Ward 28 - Madhavaram,Greater Chennai Corporation,MADHAVARAM,1.32,11,8.3,2,3,3,0,3,420,450,125,3073,181,93,89,96,62,94,87,,,
29,Greater Chennai Corporation|29,Ward 29 - CMWSSB Division 33,Greater Chennai Corporation,THIRU-VIKA-NAGAR,2.29,2,0.9,0,1,1,0,0,873,793,1033,1764,986,85,80,66,78,67,75,,,
30,Greater Chennai Corporation|30,Ward 30 - CMWSSB Division 26,Greater Chennai Corporation,MADHAVARAM,3.12,10,3.2,4,0,6,0,0,147,1852,62,2854,1711,98,54,98,64,43,71,,,
26,Greater Chennai Corporation|26,Ward 26 - CMWSSB Division 27,Greater Chennai Corporation,MADHAVARAM,2.17,3,1.4,2,0,1,0,0,1148,1513,968,5000,1949,81,62,68,38,35,57,,,
25,Greater Chennai Corporation|25,Ward 25 - CMWSSB Division 30,Greater Chennai Corporation,MADHAVARAM,4.01,3,0.7,0,0,3,0,0,1103,1137,386,4364,1590,82,72,87,45,47,67,,,
33,Greater Chennai Corporation|33,Ward 33 - CMWSSB Division 32,Greater Chennai Corporation,MADHAVARAM,0.69,3,4.3,1,0,1,0,1,542,1078,429,2921,584,91,73,86,63,81,79,,,
24,Greater Chennai Corporation|24,Ward 24 - Puzhal,Greater Chennai Corporation,MADHAVARAM,2.73,6,2.2,1,0,5,0,0,549,1030,537,5662,3403,91,74,82,29,0,55,,,
32,Greater Chennai Corporation|32,Ward 32 - Puthagaram,Greater Chennai Corporation,MADHAVARAM,5.0,3,0.6,0,0,3,0,0,1928,1757,663,3555,1874,68,56,78,56,38,59,,,
23,Greater Chennai Corporation|23,Ward 23 - CMWSSB Division 22,Greater Chennai Corporation,MADHAVARAM,4.18,6,1.4,1,1,4,0,0,877,1195,206,5960,3839,85,70,93,26,0,55,,,
31,Greater Chennai Corporation|31,Ward 31 - Kathirvedu,Greater Chennai Corporation,MADHAVARAM,2.51,0,0.0,0,0,0,0,0,1349,2198,505,4660,2223,78,45,83,42,26,55,,,
142,Greater Chennai Corporation|142,Ward 142 - Saidapet,Greater Chennai Corporation,KODAMBAKKAM,1.07,37,34.5,21,5,3,4,4,51,298,248,233,194,99,93,92,97,94,95,,,
139,Greater Chennai Corporation|139,Ward 139 - CMWSSB Division 139,Greater Chennai Corporation,KODAMBAKKAM,0.73,12,16.5,3,3,1,2,3,364,295,487,104,352,94,93,84,99,88,92,,,
140,Greater Chennai Corporation|140,Ward 140 - West Saidapet,Greater Chennai Corporation,KODAMBAKKAM,0.77,14,18.3,5,3,4,0,2,55,437,292,641,408,99,89,90,92,86,91,,,
135,Greater Chennai Corporation|135,Ward 135 - Ashok Nagar,Greater Chennai Corporation,KODAMBAKKAM,1.49,48,32.3,13,7,16,1,11,118,168,503,661,398,98,96,83,92,87,91,,,
188,Greater Chennai Corporation|188,Ward 188 - Madipakkam,Greater Chennai Corporation,PERUNKUDI,3.45,14,4.1,2,3,8,1,0,604,624,448,1072,894,90,84,85,87,70,83,,,
187,Greater Chennai Corporation|187,Ward 187 - Karthikeyapuram,Greater Chennai Corporation,PERUNKUDI,1.0,10,10.0,3,2,3,0,2,241,418,291,831,405,96,90,90,90,86,90,,,
4,Greater Chennai Corporation|4,Ward 4 - CMWSSB Division 4,Greater Chennai Corporation,THIRUVOTTRIYUR,2.09,4,1.9,0,1,2,1,0,1178,219,375,639,8432,80,95,88,92,0,71,,,
68,Greater Chennai Corporation|68,Ward 68 - Periyar Nagar,Greater Chennai Corporation,THIRU-VIKA-NAGAR,1.4,9,6.4,7,1,0,1,0,108,436,907,644,2102,98,89,70,92,30,76,,,
65,Greater Chennai Corporation|65,Ward 65 - CMWSSB Division 65,Greater Chennai Corporation,THIRU-VIKA-NAGAR,1.89,7,3.7,5,0,2,0,0,271,1411,1011,1607,1457,95,65,66,80,51,71,,,
143,Greater Chennai Corporation|143,Ward 143 - Nolambur,Greater Chennai Corporation,VALASARVAKKAM,2.61,4,1.5,0,0,0,1,3,707,731,559,524,332,88,82,81,93,89,87,,,
91,Greater Chennai Corporation|91,Ward 91 - GingerBread,Greater Chennai Corporation,VALASARVAKKAM,1.22,8,6.5,2,1,3,0,2,468,845,227,296,306,92,79,92,96,90,90,,,
6,Greater Chennai Corporation|6,Ward 6 - CMWSSB Division 6,Greater Chennai Corporation,THIRUVOTTRIYUR,1.39,0,0.0,0,0,0,0,0,418,612,844,1156,7664,93,85,72,86,0,67,,,
39,Greater Chennai Corporation|39,Ward 39 - Tollgate,Greater Chennai Corporation,TONDIARPET,1.05,4,3.8,1,1,2,0,0,475,450,551,767,4325,92,89,82,90,0,71,,,
43,Greater Chennai Corporation|43,Ward 43 - Tondiarpet,Greater Chennai Corporation,TONDIARPET,1.0,7,7.0,6,0,1,0,0,125,763,459,742,2636,98,81,85,91,12,73,,,
111,Greater Chennai Corporation|111,Ward 111 - Thousand Lights,Greater Chennai Corporation,TEYNAMPET,2.74,71,26.0,7,9,30,11,14,340,250,411,94,295,94,94,86,99,90,93,,,
110,Greater Chennai Corporation|110,Ward 110 - Nungambakkam,Greater Chennai Corporation,TEYNAMPET,2.07,26,12.6,5,7,8,1,5,131,193,197,463,373,98,95,93,94,88,94,,,
161,Greater Chennai Corporation|161,Ward 161 - CMWSSB Division 161,Greater Chennai Corporation,ALANDUR,0.8,6,7.5,0,1,5,0,0,457,292,249,277,501,92,93,92,97,83,91,,,
160,Greater Chennai Corporation|160,Ward 160 - CMWSSB Division 160,Greater Chennai Corporation,ALANDUR,0.67,14,20.8,6,0,5,3,0,192,378,312,232,590,97,91,90,97,80,91,,,
195,Greater Chennai Corporation|195,Ward 195 - Thuraipakkam,Greater Chennai Corporation,SHOZHANGANALLUR,2.51,8,3.2,4,2,0,0,2,70,420,866,2003,785,99,90,71,75,74,82,,,
196,Greater Chennai Corporation|196,Ward 196 - Kannagi Nagar,Greater Chennai Corporation,SHOZHANGANALLUR,1.56,1,0.6,0,0,1,0,0,543,641,351,2293,663,91,84,88,71,78,82,,,
